candidato,meses_confirmacao,quantidade_mudancas_regime_treino,peso_cdi_expansao_desinflacionaria,peso_cdi_expansao_inflacionaria,peso_cdi_estagflacao,peso_cdi_recessao_desinflacionaria,peso_cdi_medio,peso_cdi_maximo,excesso_retorno_anualizado_vs_benchmark,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,quantidade_janelas_12m,proporcao_janelas_12m_positivas,media_excesso_12m,mediana_excesso_12m,pior_excesso_12m,melhor_excesso_12m,respeita_limite_turnover
conf_2m_cdi_40_00_10_20,2,8,0.4,0.0,0.1,0.2,0.175,0.4,0.027101568158026224,48,0.49174748534780854,0.485817392739073,0.10405665382725582,0.06606503977117634,1.5750638187408603,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,3.9823042908853568,0.08296467272677827,0.003982304290885357,148.5817392739073,37,0.8648648648648649,0.022647870387134738,0.02032119182772818,-0.011256925131435835,0.05591928052540551,False
conf_2m_cdi_40_00_10_30,2,8,0.4,0.0,0.1,0.3,0.2,0.4,0.023411789906202074,48,0.4721878242303128,0.46605422296010524,0.10036687557543167,0.06464929430509414,1.5524821524234813,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.1740871464136236,0.08696014888361715,0.004174087146413624,146.60542229601052,37,0.8108108108108109,0.018738771663471564,0.017579329737019256,-0.027986699839462892,0.05591928052540551,False
conf_2m_cdi_40_00_10_40,2,8,0.4,0.0,0.1,0.4,0.225,0.4,0.019719112678255213,48,0.45280300502533,0.44647357280869104,0.09667419834748481,0.0634301218365947,1.524105512465067,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.3652191577508095,0.09094206578647519,0.00436521915775081,144.6473572808691,37,0.7567567567567568,0.014861634166821111,0.017579329737019256,-0.04456196936016954,0.05591928052540551,False
conf_2m_cdi_40_00_10_50,2,8,0.4,0.0,0.1,0.5,0.25,0.5,0.01602358642965207,48,0.4335922097606941,0.4270748407181757,0.09297867209888167,0.06241898490657462,1.489589621459675,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.555453774131899,0.09490528696108123,0.004555453774131899,142.70748407181756,37,0.7297297297297297,0.011016358102840526,0.017579329737019256,-0.060983242927382,0.05591928052540551,False
conf_2m_cdi_40_00_20_00,2,8,0.4,0.0,0.2,0.0,0.15000000000000002,0.4,0.03583955854775489,48,0.5393258671233645,0.5334164117044704,0.11279464421698449,0.06901582297033826,1.634330206646403,-0.05054347489023059,0.625,0.051505551784493786,-0.036822499549372445,3.8455014097485387,0.08011461270309456,0.0038455014097485392,153.34164117044705,37,1.0,0.03227765621620413,0.029342193383591564,0.010101234410622384,0.06674275447724698,False
conf_2m_cdi_40_00_20_10,2,8,0.4,0.0,0.2,0.1,0.17500000000000002,0.4,0.032164144356485735,48,0.5193109436428245,0.5132578685360529,0.10911923002571533,0.06724419562228096,1.6227308396794822,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,3.9911647404411648,0.0831492654258576,0.003991164740441165,151.32578685360528,37,1.0,0.028320002024334438,0.02390783236164684,0.00561799308152966,0.05591928052540551,False
conf_2m_cdi_40_00_20_20,2,8,0.4,0.0,0.2,0.2,0.2,0.4,0.02847487412588512,48,0.4994734114158379,0.49322386846022126,0.10542995979511471,0.06564042012717307,1.6061743601100145,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.175620754103895,0.08699209904383115,0.004175620754103895,149.3223868460221,37,0.8648648648648649,0.024380817782160495,0.022973442229510255,-0.011256925131435835,0.05591928052540551,False
conf_2m_cdi_40_00_20_30,2,8,0.4,0.0,0.2,0.3,0.22500000000000003,0.4,0.024780506259501234,48,0.4798124486389168,0.4733621835892534,0.10173559192873083,0.06422094057267101,1.5841498274789212,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.367403609632162,0.09098757520067004,0.004367403609632162,147.33621835892535,37,0.8108108108108109,0.020470524140618174,0.017468778384972516,-0.027986699839462892,0.05591928052540551,False
conf_2m_cdi_40_00_20_40,2,8,0.4,0.0,0.2,0.4,0.25,0.4,0.021083235811037104,48,0.4603272333002102,0.4536839281663845,0.0980383214802667,0.062999213624083,1.5561832575444898,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.558535620969348,0.09496949210352808,0.004558535620969349,145.36839281663845,37,0.7567567567567568,0.01659219504737598,0.017468778384972516,-0.04456196936016954,0.05591928052540551,False
conf_2m_cdi_40_00_20_50,2,8,0.4,0.0,0.2,0.5,0.275,0.5,0.017383112798097677,48,0.441016943191185,0.43418849762628087,0.09433819846732727,0.06198687570865334,1.5219060065348269,-0.05054347489023059,0.625,0.04940555101623412,-0.036822499549372445,4.7487702373504375,0.09893271327813412,0.004748770237350437,143.4188497626281,37,0.7297297297297297,0.01274573069836291,0.017468778384972516,-0.060983242927382,0.05591928052540551,False
