origem,arquivo,caminho,extensao,modificacao_utc,tamanho_bytes,status_atualizacao
tabelas,05_custo_break_even.csv,outputs/tabelas/05_custo_break_even.csv,.csv,2026-08-05 00:06:53.408791+00:00,282,Atual ou posterior às bases centrais
tabelas,05_desempenho_por_regime.csv,outputs/tabelas/05_desempenho_por_regime.csv,.csv,2026-08-05 00:06:53.361330+00:00,1704,Atual ou posterior às bases centrais
tabelas,05_diagnostico_estrategia.csv,outputs/tabelas/05_diagnostico_estrategia.csv,.csv,2026-08-05 00:06:53.477265+00:00,367,Atual ou posterior às bases centrais
tabelas,05_metricas_backtest.csv,outputs/tabelas/05_metricas_backtest.csv,.csv,2026-08-05 00:06:53.331160+00:00,1722,Atual ou posterior às bases centrais
tabelas,05_metricas_backtest_formatadas.csv,outputs/tabelas/05_metricas_backtest_formatadas.csv,.csv,2026-08-05 00:06:53.345825+00:00,876,Atual ou posterior às bases centrais
tabelas,05_metricas_moveis_12m.csv,outputs/tabelas/05_metricas_moveis_12m.csv,.csv,2026-08-05 00:06:53.445737+00:00,10816,Atual ou posterior às bases centrais
tabelas,05_resultados_anuais.csv,outputs/tabelas/05_resultados_anuais.csv,.csv,2026-08-05 00:06:53.427686+00:00,920,Atual ou posterior às bases centrais
tabelas,05_resumo_final_backtest.csv,outputs/tabelas/05_resumo_final_backtest.csv,.csv,2026-08-05 00:06:53.462779+00:00,1002,Atual ou posterior às bases centrais
tabelas,05_resumo_turnover_custos.csv,outputs/tabelas/05_resumo_turnover_custos.csv,.csv,2026-08-05 00:06:53.290256+00:00,455,Atual ou posterior às bases centrais
tabelas,05_sensibilidade_custos.csv,outputs/tabelas/05_sensibilidade_custos.csv,.csv,2026-08-05 00:06:53.393547+00:00,1114,Atual ou posterior às bases centrais
tabelas,05_turnover_custos_mensal.csv,outputs/tabelas/05_turnover_custos_mensal.csv,.csv,2026-08-05 00:06:53.306910+00:00,21617,Atual ou posterior às bases centrais
